,playerName2,predicted_pointsBasedOnAverage,playerName,playerTeam,predicted_pointsBasedOnLastWeek
0,A,0.0,,,
1,Abde,2.0,,,
2,Abdon,2.0,,,
3,Abner,3.0,,,
4,Abqar,4.0,,,
5,"Acuna, M",3.0,,,
6,Adria,0.0,,,
7,"Adu-ares, Malcom",1.0,,,
8,"Agoume, Lucien",4.0,,,
9,"Aguirrezabala, Julen",0.0,,,
10,Aidoo,2.0,,,
11,"Akhomach, Ilias",2.0,,,
12,"Alaba, David",5.0,,,
13,Albiol,4.0,,,
14,"Alcaraz, R",5.0,,,
15,"Alderete, O",3.0,,,
16,"Alejo, I",4.0,,,
17,"Alena, Carlos",2.0,,,
18,Alex,2.0,,,
19,"Alkain, Xeber",1.0,,,
20,"Allende, Tadeo",3.0,,,
21,"Almena, Iker",0.0,,,
22,"Alonso, Marcos",2.0,,,
23,"Altimira, Adria",2.0,Melendo,Granada,3.0
24,"Altimira, Sergi",2.0,,,
25,"Alvarez, Gaston",4.0,,,
26,"Alvarez, Joseda",0.0,,,
27,Alvaro,4.0,,,
28,"Amallah, Selim",3.0,,,
29,Ancelotti,0.0,,,
30,Ander,2.0,,,
31,"Ander-olasagasti, Jon",1.0,,,
32,Andre,3.0,,,
33,Andrei,2.0,,,
34,"Angileri, Fabrizio",1.0,,,
35,"Arambarri, Mauro",3.0,,,
36,"Araujo, Julian",3.0,,,
37,"Araujo, R",4.0,,,
38,"Arbol, Matias",0.0,,,
39,Areso,3.0,,,
40,"Arezo, Matias",2.0,,,
41,Aridane,3.0,,,
42,"Arnaiz, Jose",2.0,,,
43,Arnau,2.0,,,
44,Arribas,4.0,,,
45,"Arthuer, Williams",5.0,,,
46,"Aspas, Iago",4.0,,,
47,"Astralaga, Ander",0.0,,,
48,"Azpilicueta, Cesar",3.0,,,
49,"B, Alex",4.0,,,
50,Baba,3.0,,,
51,"Bade, Loic",5.0,,,
52,"Bailly, Eric",4.0,"Miquel, I",Granada,4.0
53,Bakambu,2.0,,,
54,"Balde, Alex",4.0,Pellistri,Granada,4.0
55,Balliu,4.0,,,
56,"Bamba, Jonathan",5.0,,,
57,"Baptistao, Leo",3.0,,,
58,"Baraja, Ruben",0.0,,,
59,"Barja, Kike",2.0,,,
60,Barrenetxea,3.0,,,
61,"Barrios-rivas, Pablo",4.0,,,
62,Bartra,2.0,,,
63,"Batalla, Augusto",5.0,,,
64,Bebe,1.0,,,
65,"Becker, Sheraldo",2.0,,,
66,Bellerin,4.0,,,
67,"Bellingham, Jude",6.0,,,
68,"Benavidez, Carlos",2.0,,,
69,"Benitez, Rafa",0.0,,,
70,"Berenguer, Alex",3.0,,,
71,"Blanco, Antonio",4.0,,,
72,"Blind, Daley",5.0,,,
73,"Bordalas, Jose",0.0,,,
74,"Boye, Lucas",4.0,,,
75,Brahim,3.0,,,
76,"Bravo, C",5.0,,,
77,Budimir,4.0,"Gumbau, Gerard",Granada,3.0
78,"Bueno, Manu",0.0,,,
79,"C, Fernando",1.0,,,
80,"C, Iza",4.0,,,
81,"C-v, Santi",2.0,,,
82,"Callejon, Jose",2.0,,,
83,Camavinga,4.0,,,
84,Camello,2.0,,,
85,Cancelo,5.0,,,
86,Canizares,0.0,,,
87,"Canos, Sergi",2.0,,,
88,Capoue,2.0,,,
89,Cardenas,0.0,,,
90,"Cardona, Sergi",5.0,,,
91,"Cardoso, Joao",6.0,,,
92,"Carmona, J",2.0,,,
93,"Carrillo, Coke",0.0,,,
94,Carvajal,5.0,,,
95,"Carvalho, William",2.0,,,
96,"Casado, Marc",0.0,,,
97,Catena,4.0,,,
98,"Ceballos, Dani",2.0,"Torrente, Raul",Granada,0.0
99,Centelles,2.0,,,
100,Cervi,2.0,,,
101,Chadi,4.0,,,
102,Chavarria,2.0,,,
103,Chimy,3.0,,,
104,Christensen,3.0,,,
105,Chumi,3.0,,,
106,Chust,2.0,,,
107,"Ciss, Pathe",3.0,,,
108,"Clua, Silvi",0.0,,,
109,Coco,4.0,,,
110,Copete,2.0,,,
111,"Coquelin, Francis",3.0,,,
112,"Corbeanu, Theo",0.0,,,
113,"Correa, Angel",2.0,,,
114,"Correia, Thierry",5.0,,,
115,"Costa, Jaume",2.0,,,
116,"Couto, Yan",4.0,,,
117,"Crespo, Miguel",2.0,,,
118,"Cubarsi, Pau",2.0,,,
119,Cuellar,0.0,,,
120,Cuenca,3.0,,,
121,"Curbelo, E",1.0,,,
122,"D-t, R",2.0,,,
123,Dakonam,5.0,"Uzuni, Myrto",Granada,3.0
124,"Darder, S",4.0,,,
125,"David, Soria",6.0,,,
126,"De-galarreta, R",5.0,,,
127,"De-zarate, Gonzalez",1.0,,,
128,"Depay, Memphis",2.0,,,
129,"Diakhaby, Mouctar",4.0,,,
130,"Diallo, Selu",0.0,"Arezo, Matias",Granada,1.0
131,"Diao, Assane",2.0,,,
132,Dimitrievski,5.0,,,
133,"Dmitrovic, Marko",3.0,,,
134,"Dominguez, C",2.0,,,
135,"Dominguez, Mario",0.0,,,
136,"Dotor, Carlos",2.0,,,
137,"Douvikas, Tasos",2.0,,,
138,"Dovbyk, Artem",3.0,,,
139,"Duarte, Domingos",2.0,,,
140,"Duarte, R",3.0,,,
141,"Duro, Hugo",4.0,,,
142,"Egiluz, Unai",0.0,,,
143,"Elustondo, Aritz",2.0,,,
144,Embarba,3.0,,,
145,Escalante,4.0,,,
146,"Escandell, Aaron",0.0,,,
147,"Espino, A",5.0,,,
148,"F, Raul",2.0,,,
149,Fabio,0.0,,,
150,Falcao,1.0,,,
151,Fali,5.0,,,
152,Fekir,3.0,,,
153,"Felix, Joao",3.0,,,
154,"Femenia, Kiko",2.0,,,
155,"Fernandes, Guilherme",0.0,,,
156,"Fernandez, Aitor",2.0,"Hongla, Martin",Granada,4.0
157,"Fernández, Carlos",2.0,,,
158,"Fornals, P",7.0,,,
159,"Fort, Hector",1.0,,,
160,Foulquier,3.0,,,
161,"Foyth, Juan",5.0,,,
162,"Fraga, Aitor",0.0,,,
163,Fran,3.0,,,
164,Francisco,4.0,,,
165,Fuidias,0.0,,,
166,"Fuzato, Daniel",0.0,,,
167,"G, Edgar",4.0,,,
168,"G, Hugo",2.0,,,
169,"Galan, Javi",2.0,,,
170,"Garcia, Aleix",5.0,,,
171,"Garcia, Borja",0.0,,,
172,"Garcia, Dani",2.0,,,
173,"Garcia, David",5.0,,,
174,"Garcia, Eric",4.0,,,
175,"Garcia, Kike",2.0,,,
176,"Garcia, Luis",0.0,,,
177,"Garcia, Raul",1.0,,,
