,weekNumber,totalPoints,isInIdealFormation,playerTeam,playerName,mins_played,goals,goal_assist,offtarget_att_assist,pen_area_entries,penalty_won,penalty_save,saves,effective_clearance,penalty_failed,own_goals,goals_conceded,yellow_card,second_yellow_card,red_card,total_scoring_att,won_contest,ball_recovery,poss_lost_all,penalty_conceded,marca_points
0,1.0,2.0,False,Granada CF,Melendo,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,8,0,-1
1,2.0,2.0,False,Granada CF,Melendo,80,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,5,0,-1
2,3.0,0.0,False,Granada CF,Melendo,83,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,5,1,-1
3,4.0,0.0,False,Granada CF,Melendo,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,-1
4,5.0,1.0,False,Granada CF,Melendo,74,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,7,5,0,-1
5,6.0,5.0,False,Granada CF,Melendo,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,0,-1
6,7.0,2.0,False,Granada CF,Melendo,62,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,-1
7,8.0,0.0,False,Granada CF,Melendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
8,9.0,0.0,False,Granada CF,Melendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
9,10.0,2.0,False,Granada CF,Melendo,63,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,6,0,-1
10,11.0,5.0,False,Granada CF,Melendo,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0,-1
11,12.0,2.0,False,Granada CF,Melendo,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,0,-1
12,13.0,4.0,False,Granada CF,Melendo,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,-1
13,14.0,2.0,False,Granada CF,Melendo,79,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,5,10,0,-1
14,15.0,0.0,False,Granada CF,Melendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
15,16.0,0.0,False,Granada CF,Melendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
16,17.0,2.0,False,Granada CF,Melendo,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,-1
17,18.0,0.0,False,Granada CF,Melendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
18,19.0,0.0,False,Granada CF,Melendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
19,20.0,2.0,False,Granada CF,Melendo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
20,21.0,2.0,False,Granada CF,Melendo,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1
21,22.0,3.0,False,Granada CF,Melendo,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,0,-1
22,23.0,1.0,False,Granada CF,Melendo,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
