,TeamName,ChanceOfWinning,ChanceOfScoring
"Moreno, Gerard", Villarreal,48.78048780487805,43.47826086956522
"Sorloth, Alexander", Villarreal,48.78048780487805,36.36363636363637
"Morales, José Luis", Villarreal,48.78048780487805,36.36363636363637
"Mayoral, Borja", Getafe,28.571428571428573,36.36363636363637
"Traoré, Bertrand", Villarreal,48.78048780487805,28.571428571428573
"Guedes, Goncalo", Villarreal,48.78048780487805,28.571428571428573
"Greenwood, Mason", Getafe,28.571428571428573,28.571428571428573
"Mata, Jaime", Getafe,28.571428571428573,22.22222222222222
"Latasa, Juan", Getafe,28.571428571428573,22.22222222222222
"Baena, Alex", Villarreal,48.78048780487805,20.0
"Akhomach, Ilias", Villarreal,48.78048780487805,20.0
"Trigueros, Manu", Villarreal,48.78048780487805,14.285714285714286
"Martín, Jordi", Getafe,28.571428571428573,14.285714285714286
"Parejo, Dani", Villarreal,48.78048780487805,12.5
"Moreno, Alberto", Villarreal,48.78048780487805,11.11111111111111
"Rodríguez, Óscar", Getafe,28.571428571428573,11.11111111111111
"Aleñá, Carles", Getafe,28.571428571428573,11.11111111111111
"Capoue, Etienne", Villarreal,48.78048780487805,10.0
"Coquelin, Francis", Villarreal,48.78048780487805,10.0
"Comesaña, Santi", Villarreal,48.78048780487805,10.0
"Ilaix, Moriba", Getafe,28.571428571428573,10.0
"Milla, Luis", Getafe,28.571428571428573,10.0
"Maksimovic, Nemanja", Getafe,28.571428571428573,10.0
"Carmona, Jose", Getafe,28.571428571428573,10.0
"Femenía, Kiko", Villarreal,48.78048780487805,6.666666666666667
"Mosquera, Yerson", Villarreal,48.78048780487805,6.666666666666667
"Alvarez, Gaston", Getafe,28.571428571428573,6.666666666666667
Yellu Santiago, Getafe,28.571428571428573,6.666666666666667
"Cuenca, Jorge", Villarreal,48.78048780487805,5.0
Domingos Duarte, Getafe,28.571428571428573,5.0
"Albiol, Raúl", Villarreal,48.78048780487805,4.0
"Mandi, Aissa", Villarreal,48.78048780487805,4.0
"Alderete, Omar", Getafe,28.571428571428573,4.0
"Rico, Diego", Getafe,28.571428571428573,4.0
"Iglesias, Juan", Getafe,28.571428571428573,4.0
"Dakonam, Djene", Getafe,28.571428571428573,4.0
"Depay, Memphis", Atlético de Madrid,69.44444444444444,40.0
"Griezmann, Antoine", Atlético de Madrid,69.44444444444444,40.0
"Correa, Ángel", Atlético de Madrid,69.44444444444444,36.36363636363637
"Llorente, Marcos", Atlético de Madrid,69.44444444444444,22.22222222222222
"Riquelme, Rodrigo", Atlético de Madrid,69.44444444444444,22.22222222222222
Lino, Atlético de Madrid,69.44444444444444,22.22222222222222
"Cardona, Marc", UD Las Palmas,14.285714285714286,22.22222222222222
"El Haddadi, Munir", UD Las Palmas,14.285714285714286,22.22222222222222
"Ramírez, Sandro", UD Las Palmas,14.285714285714286,22.22222222222222
"De Paul, Rodrigo", Atlético de Madrid,69.44444444444444,16.666666666666668
"Ñíguez, Saúl", Atlético de Madrid,69.44444444444444,16.666666666666668
"Barrios, Pablo", Atlético de Madrid,69.44444444444444,16.666666666666668
"Kaba, Sory", UD Las Palmas,14.285714285714286,16.666666666666668
Pejiño, UD Las Palmas,14.285714285714286,16.666666666666668
"Herrera, Cristian", UD Las Palmas,14.285714285714286,16.666666666666668
"Vermeeren, Arthur", Atlético de Madrid,69.44444444444444,12.5
"Moleiro, Alberto", UD Las Palmas,14.285714285714286,12.5
"Molina, Nahuel", Atlético de Madrid,69.44444444444444,10.0
"Park, Marvin", UD Las Palmas,14.285714285714286,10.0
"Giménez, José María", Atlético de Madrid,69.44444444444444,8.333333333333334
Koke, Atlético de Madrid,69.44444444444444,8.333333333333334
"Hermoso, Mario", Atlético de Madrid,69.44444444444444,8.333333333333334
"Rodriguez, Kirian", UD Las Palmas,14.285714285714286,8.333333333333334
"Muñoz, Javier", UD Las Palmas,14.285714285714286,8.333333333333334
"Witsel, Axel", Atlético de Madrid,69.44444444444444,6.666666666666667
"Perrone, Maximo", UD Las Palmas,14.285714285714286,6.666666666666667
"Mandava, Reinildo", Atlético de Madrid,69.44444444444444,5.0
"Savic, Stefan", Atlético de Madrid,69.44444444444444,5.0
"Paulista, Gabriel", Atlético de Madrid,69.44444444444444,5.0
"Coco, Saul", UD Las Palmas,14.285714285714286,5.0
"Loiodice, Enzo", UD Las Palmas,14.285714285714286,5.0
"Cardona, Sergi", UD Las Palmas,14.285714285714286,4.0
"Araujo, Julian", UD Las Palmas,14.285714285714286,3.3333333333333335
"Sinkgraven, Daley", UD Las Palmas,14.285714285714286,3.3333333333333335
"Suarez, Alex", UD Las Palmas,14.285714285714286,3.3333333333333335
"Mármol, Mika", UD Las Palmas,14.285714285714286,2.5
"Budimir, Ante", Osasuna,57.142857142857146,44.44444444444444
Raúl García <osa>, Osasuna,57.142857142857146,30.76923076923077
"Oroz, Aimar", Osasuna,57.142857142857146,22.22222222222222
"García, Rubén", Osasuna,57.142857142857146,20.0
"Ramos, Chris", Cádiz,19.607843137254903,20.0
"Gómez, Moi", Osasuna,57.142857142857146,16.666666666666668
"Peña, Rubén", Osasuna,57.142857142857146,16.666666666666668
"Barja, Kike", Osasuna,57.142857142857146,16.666666666666668
Juanmi, Cádiz,19.607843137254903,16.666666666666668
"Sobrino, Rubén", Cádiz,19.607843137254903,16.666666666666668
"Gómez, Maxi", Cádiz,19.607843137254903,14.285714285714286
"Guardiola, Sergi", Cádiz,19.607843137254903,14.285714285714286
"Ibañez, Pablo", Osasuna,57.142857142857146,12.5
"Machís, Darwin", Cádiz,19.607843137254903,12.5
"Moncayola, Jon", Osasuna,57.142857142857146,11.11111111111111
"Torró, Lucas", Osasuna,57.142857142857146,11.11111111111111
"Muñoz, Iker", Osasuna,57.142857142857146,11.11111111111111
"Navarro, Robert", Cádiz,19.607843137254903,11.11111111111111
"Alejo, Iván", Cádiz,19.607843137254903,11.11111111111111
"Escalante, Gonzalo", Cádiz,19.607843137254903,11.11111111111111
"Fernández, Álex", Cádiz,19.607843137254903,10.0
"Mojica, Johan", Osasuna,57.142857142857146,8.333333333333334
"García, David", Osasuna,57.142857142857146,6.666666666666667
"Areso, Jesus", Osasuna,57.142857142857146,6.666666666666667
"Ocampo, Brian", Cádiz,19.607843137254903,6.666666666666667
"Alcaraz, Rubén", Cádiz,19.607843137254903,6.666666666666667
"Herrando, Jorge", Osasuna,57.142857142857146,5.555555555555555
"Pires, Lucas", Cádiz,19.607843137254903,5.555555555555555
"García, Unai", Osasuna,57.142857142857146,5.0
"Cruz, Juan <osa>", Osasuna,57.142857142857146,5.0
"Catena, Alejandro", Osasuna,57.142857142857146,5.0
"Samassekou, Diadie", Cádiz,19.607843137254903,5.0
"Ousou, Aiham", Cádiz,19.607843137254903,4.0
"Chust, Víctor", Cádiz,19.607843137254903,3.3333333333333335
"Carcelén, Isaac", Cádiz,19.607843137254903,3.3333333333333335
Fali, Cádiz,19.607843137254903,3.3333333333333335
"Lewandowski, Robert", FC Barcelona,54.05405405405405,45.45454545454545
"Larsen, Jorgen Strand", Celta de Vigo,26.315789473684212,30.76923076923077
Vitor Roque, FC Barcelona,54.05405405405405,30.76923076923077
Lamine Yamal, FC Barcelona,54.05405405405405,30.76923076923077
"Guiu, Marc", FC Barcelona,54.05405405405405,30.76923076923077
"Aspas, Iago", Celta de Vigo,26.315789473684212,28.571428571428573
Raphinha, FC Barcelona,54.05405405405405,28.571428571428573
"Félix, Joao", FC Barcelona,54.05405405405405,28.571428571428573
"Douvikas, Anastasios", Celta de Vigo,26.315789473684212,25.0
"Allende, Tadeo", Celta de Vigo,26.315789473684212,25.0
Fermín, FC Barcelona,54.05405405405405,20.0
"Bamba, Jonathan", Celta de Vigo,26.315789473684212,16.666666666666668
"Rodríguez, Miguel", Celta de Vigo,26.315789473684212,16.666666666666668
"de la Torre, Luca", Celta de Vigo,26.315789473684212,16.666666666666668
"Gundogan, Ilkay", FC Barcelona,54.05405405405405,16.666666666666668
"Mingueza, Óscar", Celta de Vigo,26.315789473684212,14.285714285714286
"Cervi, Franco", Celta de Vigo,26.315789473684212,14.285714285714286
Pedri, FC Barcelona,54.05405405405405,14.285714285714286
"Cancelo, Joao", FC Barcelona,54.05405405405405,11.11111111111111
"Roberto, Sergi", FC Barcelona,54.05405405405405,11.11111111111111
"de Jong, Frenkie", FC Barcelona,54.05405405405405,10.0
"Martínez, Íñigo", FC Barcelona,54.05405405405405,10.0
Jailson, Celta de Vigo,26.315789473684212,8.333333333333334
"Beltrán, Fran", Celta de Vigo,26.315789473684212,8.333333333333334
"Christensen, Andreas", FC Barcelona,54.05405405405405,8.333333333333334
"Sanchez, Manu", Celta de Vigo,26.315789473684212,6.666666666666667
"Tapia, Renato", Celta de Vigo,26.315789473684212,6.666666666666667
"Ristic, Mihailo", Celta de Vigo,26.315789473684212,6.666666666666667
"Romeu, Oriol", FC Barcelona,54.05405405405405,6.666666666666667
"Araújo, Ronald", FC Barcelona,54.05405405405405,6.666666666666667
"Kounde, Jules", FC Barcelona,54.05405405405405,6.666666666666667
"Cubarsi, Pau", FC Barcelona,54.05405405405405,6.666666666666667
"Starfelt, Carl", Celta de Vigo,26.315789473684212,4.0
"Manquillo, Javi", Celta de Vigo,26.315789473684212,4.0
"Núñez, Unai", Celta de Vigo,26.315789473684212,5.0
"Dominguez, Carlos", Celta de Vigo,26.315789473684212,3.3333333333333335
"Duro, Hugo", Valencia,44.44444444444444,33.333333333333336
"En-Nesyri, Youssef", Sevilla,30.76923076923077,33.333333333333336
"Yaremchuk, Roman", Valencia,44.44444444444444,28.571428571428573
"Romero, Isaac", Sevilla,30.76923076923077,28.571428571428573
"Ocampos, Lucas", Sevilla,30.76923076923077,25.0
"Mir, Rafa", Sevilla,30.76923076923077,25.0
Sergi Canós, Valencia,44.44444444444444,20.0
Alberto Mari, Valencia,44.44444444444444,20.0
Pepelu, Valencia,44.44444444444444,16.666666666666668
"Guerra, Javi", Valencia,44.44444444444444,16.666666666666668
"Perez, Fran", Valencia,44.44444444444444,16.666666666666668
"González, Peter", Valencia,44.44444444444444,16.666666666666668
"Lamela, Erik", Sevilla,30.76923076923077,16.666666666666668
"Amallah, Selim", Valencia,44.44444444444444,14.285714285714286
"Januzaj, Adnan", Sevilla,30.76923076923077,14.285714285714286
Suso, Sevilla,30.76923076923077,14.285714285714286
"Ramos, Sergio", Sevilla,30.76923076923077,12.5
"Torres, Oliver", Sevilla,30.76923076923077,12.5
"Gayá, José Luis", Valencia,44.44444444444444,10.0
"Mejbri, Hannibal", Sevilla,30.76923076923077,10.0
"Sow, Djibril", Sevilla,30.76923076923077,10.0
